mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,teo_mean,teo_std,teo_max,chroma_stft,rms,centroid,rolloff,bandwidth,zcr,label
-249.3286591,100.5445328,-70.65234375,-11.99536705,-24.97606277,-11.48311996,-6.600735188,-13.88136292,-6.971712112,-3.392644882,-13.55056763,-1.454771638,-24.22323227,-2.134989738,-9.609392166,-9.239412308,-8.894506454,-6.094636917,-9.83160305,-11.91863346,2.291402102,-0.011957943,-1.557859182,-0.133717164,0.482043833,-0.575571656,-0.27600199,-1.074966192,0.15959461,-0.184282988,-0.631029487,-0.230993852,-0.240060613,-0.48633635,0.409913361,0.299770206,-0.148051292,-0.534178793,0.261936098,0.37019068,0.38721472,-1.643399119,-0.836003065,0.104459912,0.850473344,0.332417458,-0.114793293,-0.307407945,0.5034917,0.471527219,0.046200078,0.112727545,0.123214498,-0.245905295,0.240867928,-0.224695101,-0.094100609,0.005302265,0.20554398,0.220390528,0.000606148,0.001215527,0.015707264,0.277597308,0.045220006,1490.531084,2620.117188,1256.352464,0.120803833,genuine
-229.5035706,86.76551819,-61.88332748,0.736327171,-18.26545334,-4.270016193,-19.95935059,-19.43002129,6.516452789,3.337162495,-19.01744843,-4.344648361,-14.68685722,-3.629870176,-10.26937008,-8.328872681,-10.20664024,-2.960468531,-2.846972704,-0.437994361,-1.646418452,1.611781359,1.154431105,0.136199087,-0.429661274,0.284949452,0.040185153,1.209774733,-0.349871486,-0.147930652,1.022704601,-0.281420648,0.604785562,0.50411582,-0.465416849,0.139067411,-0.223696604,-0.167562068,0.481772542,0.867329478,-0.366932869,0.695526481,1.063671827,0.002325498,0.199285582,0.245071396,0.388804257,0.424026906,-0.087309062,-0.07205528,0.464872181,-0.496749103,0.114878193,0.102125801,0.178452969,0.1374816,0.124167413,0.000989094,-0.056686722,-0.010162339,0.000513005,0.00111198,0.010797637,0.420143038,0.029981194,1903.146817,3320.556641,1421.842498,0.184814453,genuine
-183.1722565,80.78839111,-89.88394928,-20.61541748,-38.28493118,-7.534501076,-7.913122654,8.238183975,5.266727448,-0.79824537,-11.24025345,-0.41384533,-12.36528206,-2.307130337,-8.294252396,-1.600780249,-7.9914608,5.826025009,-1.570671082,-3.055832863,3.392943621,-0.619827032,-0.455288887,-0.65166378,-0.198840275,0.105037436,-0.492249787,0.027476555,-0.224332273,-0.365298361,-0.136721373,0.226219118,-0.033240978,-0.145620495,0.001014598,0.422053218,0.193653435,0.217539668,0.095081404,-0.267888725,-0.5084728,-0.247016862,0.472049683,0.077921301,0.399592102,-0.00786053,0.15626654,-0.020370781,0.152605623,0.148700505,0.374299645,0.101950228,0.026477378,-0.089709006,-0.058258727,-0.110519044,0.078440435,-0.004879065,0.357218981,0.217029735,0.000616627,0.000899955,0.010266081,0.445808887,0.037367284,1733.032558,2930.908203,1307.402598,0.145309448,genuine
-146.3459015,77.93026733,-102.3316498,-27.33000946,-42.290905,-8.501585007,-10.20610619,5.380922318,6.299991608,-1.561870933,-6.849411964,1.272567272,-17.15954971,-3.481940508,-6.577093124,-1.434404969,-4.062846184,1.489655018,-2.679974556,-1.779107571,0.561921418,0.090242997,-0.244027257,0.119441785,-0.244033843,-0.371745467,-0.151110619,-0.227849692,-0.030786704,-0.012871532,-0.13936843,0.11290352,-0.009734238,0.03449418,-0.013221322,-0.065459117,0.139994636,-0.111635558,-0.506318271,0.06738659,-0.442684829,-0.193582222,0.172932416,-0.179639161,0.204809085,-0.078449473,0.175072894,-0.065043554,-0.085043371,0.042398728,0.029490318,-0.061134256,0.127554417,0.221320868,0.092054427,0.078232467,0.152803451,0.060289316,0.115507051,0.012296915,0.001251806,0.001536669,0.013982218,0.515165269,0.05476613,1702.279037,2809.326172,1242.314252,0.147216797,genuine
-170.013916,90.14347076,-95.48278046,-26.5927124,-38.02580261,-10.26418304,-5.644470215,2.082006693,3.222006798,3.576271057,-4.5470438,2.890197992,-14.10142422,-7.198539734,-8.183132172,-0.111973256,-0.6595366,3.221940041,-5.837347984,-0.222330809,-1.425211668,0.789140821,0.209495306,-0.195318967,-0.084858052,-0.084155031,0.343602479,0.151943743,-0.294878721,0.22947067,-0.078571737,-0.15669553,-0.217704818,-0.299902529,-0.071691833,-0.309418321,0.150628477,0.403731853,0.118147328,0.071502812,-0.841691852,0.199025229,0.072273403,0.050286416,0.11195641,0.008896455,0.109357052,-0.021397639,0.117994979,-0.006089004,0.397714198,0.119970754,0.092661411,0.038501635,-0.075466163,-0.084187545,0.03666408,-0.099371225,-0.117387034,-0.146128088,0.000810796,0.001012627,0.010840761,0.515174806,0.045879278,1600.050058,2595.458984,1203.146726,0.13885498,genuine
-200.5090637,112.3752594,-21.81355858,-14.11334801,-30.80993843,-10.0612545,-4.012502193,-31.49240303,3.779656172,-17.55267525,-14.41721535,-2.409977436,-13.48134041,-2.925860405,-15.39548969,-13.17936993,-9.425499916,-9.207843781,-10.3455658,-2.722010851,10.16606712,0.794703245,-4.658042431,-0.146863729,0.426384449,-0.52763021,-0.332008064,-1.403570414,0.899390221,-0.529736042,0.121645078,0.024280608,-0.869849682,0.280776799,-0.123709261,-0.356233686,0.223426297,-0.142427802,-0.030472402,0.356059194,-1.096442342,-1.562255502,-0.275307238,0.725920796,1.348667264,-0.470143706,-0.831124187,0.25067398,0.265129149,0.288285911,0.543161631,-0.506156504,0.137739331,0.340213656,0.15702942,0.171737552,0.377513111,0.123776272,0.010108838,0.007751483,0.003778449,0.010946388,0.201542675,0.302265614,0.125944182,1427.698176,2252.929688,1439.498066,0.118087769,spoof
-227.7700806,81.98371887,-26.64876556,-12.65914631,-5.370749474,-16.51917648,-16.74638557,-0.469014049,2.341555119,-12.26028824,-10.56782341,-1.655250549,-6.438926697,-4.6308918,-9.465890884,-4.447441101,-4.876071453,-8.883767128,-8.894983292,0.951494813,-7.505296707,1.139630795,0.846824586,-1.20501554,-0.030644804,0.59400475,0.037140742,1.552408695,-1.495788813,1.57919383,0.502446175,-0.113875702,0.476810396,0.153574049,0.147470042,0.47176075,-0.271878541,0.018229058,0.98233211,0.344293386,-1.891069055,1.075581193,0.260827452,0.856986463,0.050213784,0.701926231,0.701674104,0.374744266,-0.293749034,0.397120327,0.266281307,-0.171835333,0.070699602,0.246829957,0.020640146,0.010244317,0.192134321,-0.03632544,0.205434039,0.12692897,0.002920188,0.010362802,0.12994504,0.431441039,0.062122133,2357.249528,3745.117188,1578.066633,0.236434937,spoof
-226.9421082,128.657959,-109.6176987,-28.43796539,-18.53294754,-22.0572319,-5.216665745,17.94051743,-4.81162262,3.923195124,-5.861891747,-10.0938921,-2.354614735,-9.335508347,-3.220109463,-5.743093014,-3.523413897,2.405590057,1.409290195,-4.613565445,3.738054276,-0.613055587,-0.730700672,-0.092034936,-0.570968747,0.218853369,-0.365011096,-0.418584496,-0.033701435,-0.335308671,-0.351244628,0.128779814,0.186640307,-0.267651796,-0.023147598,0.366508663,0.356474519,0.092448115,0.097124994,-0.24788706,-0.094722986,-0.815373957,0.698363602,0.149740785,0.071008801,0.221723601,0.101752199,-0.134805486,0.303928733,0.041473143,0.364012748,0.229567438,-0.122891344,-0.037570331,-0.055499449,-0.123051785,0.041746631,0.008863159,0.334832489,0.211917937,0.000539132,0.000720042,0.007301584,0.440797061,0.036736295,1412.929004,2138.916016,956.4576451,0.134490967,spoof
-179.1078186,103.3792572,-115.9967041,-39.55563736,-25.72297859,-19.09300423,-8.217261314,15.18733597,-3.756955147,6.173240185,-9.361241341,-2.947541475,-11.94306946,-10.00975132,-0.461058259,-4.47365427,-1.768985629,5.594560146,-6.280992508,1.770534277,0.24160473,-0.641513526,-0.666314244,-0.245604157,-0.549647152,-0.237856954,-0.491595924,0.074553616,-0.059303805,-0.110557705,-0.03744638,0.102850452,-0.074460976,0.067381009,0.081822932,0.051910996,0.14848426,0.12804693,-0.389738858,0.054955505,-0.103397354,-0.417646527,0.393333793,-0.096591473,0.118441418,-0.005616397,0.217222497,-0.175458521,0.001027176,0.025939042,0.068566859,-0.075686671,0.186967939,0.25877142,0.012280226,0.148629308,0.137061507,-0.043923479,0.225861624,-0.067746744,0.001100835,0.001237743,0.012591468,0.501753986,0.053238183,1484.839124,2176.513672,1014.475765,0.138946533,spoof
-196.0399475,84.08608246,-112.4592896,-42.1415329,-41.24001694,-11.95161629,-12.35227776,6.07613039,-0.428790838,3.832597733,-6.478457928,0.490439415,-13.1463623,-11.15701294,-7.630663872,-0.946220636,-0.902436137,3.739625931,-3.261171341,0.551621199,-0.931521535,-0.388490319,0.240954459,-0.032877147,-0.513704419,0.052695334,0.522318363,-0.442379177,-0.104747601,-0.111753702,-0.320408106,-0.050909832,-0.48866871,-0.204011574,-0.166742414,-0.297626972,0.038424,0.530609965,-0.018717483,0.238856226,-0.73031199,0.141507596,0.215295494,0.027994011,0.282225311,-0.041875787,0.302517653,-0.025837302,0.175439507,0.058268875,0.393832028,0.124053732,0.101648003,0.029506953,-0.076033123,-0.06161043,0.040837489,-0.077377751,-0.127924725,-0.127364993,0.000720689,0.000860055,0.008176603,0.536961555,0.042754397,1553.698783,2343.017578,1118.746937,0.140426636,spoof
